,,,,,,,,,,,,,,,zhi,chi,shi,ri,zi,ci,si
a,ba,pa,ma,fa,da,ta,na,la,ga,ka,ha,,,,zha,cha,sha,,za,ca,sa
e,,,me,,de,te,ne,le,ge,ke,he,,,,zhe,che,she,re,ze,ce,se
ê,,,,,,,,,,,,,,,,,,,,,
ai,bai,pai,mai,,dai,tai,nai,lai,gai,kai,hai,,,,zhai,chai,shai,,zai,cai,sai
ei,bei,pei,mei,fei,dei,tei,nei,lei,gei,kei [table 1],hei,,,,zhei,,shei,,zei,,sei [table 2]
ao,bao,pao,mao,,dao,tao,nao,lao,gao,kao,hao,,,,zhao,chao,shao,rao,zao,cao,sao
ou,,pou,mou,fou,dou,tou,nou,lou,gou,kou,hou,,,,zhou,chou,shou,rou,zou,cou,sou
an,ban,pan,man,fan,dan,tan,nan,lan,gan,kan,han,,,,zhan,chan,shan,ran,zan,can,san
en,ben,pen,men,fen,den,,nen,,gen,ken,hen,,,,zhen,chen,shen,ren,zen,cen,sen
ang,bang,pang,mang,fang,dang,tang,nang,lang,gang,kang,hang,,,,zhang,chang,shang,rang,zang,cang,sang
eng,beng,peng,meng,feng,deng,teng,neng,leng,geng,keng,heng,,,,zheng,cheng,sheng,reng,zeng,ceng,seng
er,,,,,,,,,,,,,,,,,,,,,
yi,bi,pi,mi,,di,ti,ni,li,,,,ji,qi,xi,,,,,,,
ya,,,,,dia,,nia [table 2],lia,,,,jia,qia,xia,,,,,,,
yo,,,,,,,,,,,,,,,,,,,,,
ye,bie,pie,mie,,die,tie,nie,lie,,,,jie,qie,xie,,,,,,,
yai,,,,,,,,,,,,,,,,,,,,,
yao,biao,piao,miao,fiao [table 3],diao,tiao,niao,liao,,,,jiao,qiao,xiao,,,,,,,
you,,,miu,,diu,,niu,liu,,,,jiu,qiu,xiu,,,,,,,
yan,bian,pian,mian,,dian,tian,nian,lian,,,,jian,qian,xian,,,,,,,
yin,bin,pin,min,,,,nin,lin,,,,jin,qin,xin,,,,,,,
yang,biang [table 4],,,,diang [table 2],,niang,liang,,,,jiang,qiang,xiang,,,,,,,
ying,bing,ping,ming,,ding,ting,ning,ling,,,,jing,qing,xing,,,,,,,
wu,bu,pu,mu,fu,du,tu,nu,lu,gu,ku,hu,,,,zhu,chu,shu,ru,zu,cu,su
wa,,,,,,,,,gua,kua,hua,,,,zhua,chua,shua,rua,,,
wo,bo,po,mo,fo,duo,tuo,nuo,luo,guo,kuo,huo,,,,zhuo,chuo,shuo,ruo,zuo,cuo,suo
wai,,,,,,,,,guai,kuai,huai,,,,zhuai,chuai,shuai,,,,
wei,,,,,dui,tui,,,gui,kui,hui,,,,zhui,chui,shui,rui,zui,cui,sui
wan,,,,,duan,tuan,nuan,luan,guan,kuan,huan,,,,zhuan,chuan,shuan,ruan,zuan,cuan,suan
wen,,,,,dun,tun,nun,lun,gun,kun,hun,,,,zhun,chun,shun,run,zun,cun,sun
wang,,,,,,,,,guang,kuang,huang,,,,zhuang,chuang,shuang,,,,
weng,,,,,dong,tong,nong,long,gong,kong,hong,,,,zhong,chong,shong [table 2],rong,zong,cong,song
yu,,,,,,,nü,lü,,,,ju,qu,xu,,,,,,,
yue,,,,,,,nüe,lüe,,,,jue,que,xue,,,,,,,
yuan,,,,,,,,,,,,juan,quan,xuan,,,,,,,
yun,,,,,,,,lün [table 2],,,,jun,qun,xun,,,,,,,
yong,,,,,,,,,,,,jiong,qiong,xiong,,,,,,,
